output	ASV	DFP.024	DFP.025	DFP.026	DFP.027	DFP.028	DFP.029	DFP.030	DFP.031	DFP.032	DFP.000	DFP.001	DFP.002	DFP.003	DFP.004	DFP.005	DFP.006	DFP.007	DFP.008	DFP.009	DFP.010	DFP.011	DFP.012	DFP.013	DFP.014	DFP.015	DFP.016	DFP.017	DFP.018	DFP.019	DFP.020	DFP.021	DFP.022	DFP.023
40	Root (86.5%); Eukaryota (86.5%); Amorphea (85.8%); Obazoa (85.8%); Opisthokonta (85.8%); Nucletmycea (85.8%); Fungi (85.8%); Dikarya (85.1%); Ascomycota (85.1%); Pezizomycotina (80.7%); unclassified_Pezizomycotina (80.7%)	ASV1038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	Root (75.7%); Eukaryota (75.7%); Archaeplastida (67%); Chloroplastida (67%); Charophyta (67%); Phragmoplastophyta (67%); Streptophyta (67%); Embryophyta (67%); Tracheophyta (66.5%); Spermatophyta (66%); Magnoliophyta (61.7%)	ASV1039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	22	17	0	0	0
42	Root (81.8%); Eukaryota (81.8%); Amorphea (81.8%); Obazoa (81.8%); Opisthokonta (81.8%); Holozoa (81.8%); Choanozoa (81.8%); Metazoa (81.8%); Animalia (81.8%); BCP clade (81.8%); Bilateria (81.8%); Protostomia (81.8%); Ecdysozoa (81.8%); Arthropoda (81.8%); Hexapoda (81.2%); Insecta (81.2%); Pterygota (81.2%); Neoptera (81.2%); Diptera (79.9%)	ASV104	0	0	0	0	0	0	0	0	0	0	0	0	7758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	Root (99.4%); Eukaryota (99.4%); Amorphea (99.4%); Obazoa (99.4%); Opisthokonta (99.4%); Nucletmycea (99.4%); Fungi (99.4%); Dikarya (99.4%); Ascomycota (99.4%); Pezizomycotina (99.4%); Leotiomycetes (87.7%); Erysiphales (83.2%); Erysiphaceae (83.2%); unclassified_Erysiphaceae (83.2%)	ASV1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	39	0	0	0	0	0
44	Root (94.6%); Eukaryota (94.6%); SAR (94.6%); Rhizaria (94.6%); Cercozoa (94.6%); Cercomonadidae (92.3%); Cercomonas (92.3%)	ASV1042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0
45	Root (96.7%); Eukaryota (96.7%); Amorphea (96.7%); Obazoa (96.7%); Opisthokonta (96.7%); Nucletmycea (96.7%); Fungi (96.7%); Dikarya (96.7%); Ascomycota (96.7%); Pezizomycotina (96.7%); Eurotiomycetes (91.8%); Chaetothyriales (88.6%); Cyphellophoraceae (86%); Cyphellophora (86%)	ASV1043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0
46	Root (81.8%); Eukaryota (81.8%); SAR (78.7%); Rhizaria (78.7%); Cercozoa (78.7%); unclassified_Cercozoa (78.7%)	ASV1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0
47	Root (80.9%); Eukaryota (80.9%); Amorphea (80.9%); Obazoa (80.9%); Opisthokonta (80.9%); Holozoa (80.9%); Choanozoa (80.9%); Metazoa (80.9%); Animalia (80.9%); BCP clade (80.9%); Bilateria (80.9%); Protostomia (80.9%); Ecdysozoa (80.9%); Arthropoda (80.9%); Chelicerata (80.5%); Arachnida (80.5%); Acari (80.5%)	ASV1045	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	Root (83.6%); Eukaryota (83.6%); Archaeplastida (77.2%); Chloroplastida (77.2%); Charophyta (77.2%); Phragmoplastophyta (77.2%); Streptophyta (77.2%); Embryophyta (77.2%); Tracheophyta (76.6%); Spermatophyta (74.5%); Magnoliophyta (73.9%)	ASV1046	0	0	0	0	0	0	0	0	0	0	14	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	Root (96.6%); Eukaryota (96.6%); Archaeplastida (95.7%); Chloroplastida (95.7%); Charophyta (95.7%); Phragmoplastophyta (95.7%); Streptophyta (95.7%); Embryophyta (95.7%); Tracheophyta (95%); Spermatophyta (95%); Magnoliophyta (94.1%)	ASV1047	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
